PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error,,PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
pf9f114e8-3b20-4635-885f-89ed75245b36,0,Bar chart,0.32898328,40,5.3100133,,pb2e552ad-591d-4b99-855d-b662b5c578b1,0,Bar chart,92.96286,95,1.026545,,p84c1777f-cfbe-4c46-94d5-319a27abe658,0,Bar chart,90.14799,90,-2.756454
pf9f114e8-3b20-4635-885f-89ed75245b36,1,Bar chart,0.41254807,50,5.631903,,pb2e552ad-591d-4b99-855d-b662b5c578b1,1,Bar chart,58.545006,65,2.6904159,,p84c1777f-cfbe-4c46-94d5-319a27abe658,1,Bar chart,4.6221924,5,-1.4042763
pf9f114e8-3b20-4635-885f-89ed75245b36,2,Bar chart,0.12907498,20,4.3125873,,pb2e552ad-591d-4b99-855d-b662b5c578b1,2,Bar chart,64.24898,70,2.5238185,,p84c1777f-cfbe-4c46-94d5-319a27abe658,2,Bar chart,31.723991,30,0.7857526
pf9f114e8-3b20-4635-885f-89ed75245b36,3,Bar chart,0.64268017,70,6.1159763,,pb2e552ad-591d-4b99-855d-b662b5c578b1,3,Bar chart,57.93832,65,2.8200114,,p84c1777f-cfbe-4c46-94d5-319a27abe658,3,Bar chart,73.97616,80,2.590684
pf9f114e8-3b20-4635-885f-89ed75245b36,4,Bar chart,0.7535558,75,6.2142496,,pb2e552ad-591d-4b99-855d-b662b5c578b1,4,Bar chart,2.8531332,10,2.837311,,p84c1777f-cfbe-4c46-94d5-319a27abe658,4,Bar chart,55.64276,60,2.1234143
pf9f114e8-3b20-4635-885f-89ed75245b36,5,Pie chart,0.9082838,85,6.393892,,pb2e552ad-591d-4b99-855d-b662b5c578b1,5,Pie chart,81.20464,70,3.4860246,,p84c1777f-cfbe-4c46-94d5-319a27abe658,5,Pie chart,95.31128,75,4.344209
pf9f114e8-3b20-4635-885f-89ed75245b36,6,Pie chart,0.95293754,90,6.4764957,,pb2e552ad-591d-4b99-855d-b662b5c578b1,6,Pie chart,76.53894,80,1.7912138,,p84c1777f-cfbe-4c46-94d5-319a27abe658,6,Pie chart,40.89326,20,4.3849654
pf9f114e8-3b20-4635-885f-89ed75245b36,7,Pie chart,0.38684502,33,5.027382,,pb2e552ad-591d-4b99-855d-b662b5c578b1,7,Pie chart,4.48367,5,-0.9536353,,p84c1777f-cfbe-4c46-94d5-319a27abe658,7,Pie chart,58.999054,65,2.5851898
pf9f114e8-3b20-4635-885f-89ed75245b36,8,Pie chart,0.40834537,40,5.3071246,,pb2e552ad-591d-4b99-855d-b662b5c578b1,8,Pie chart,25.866344,20,2.5524619,,p84c1777f-cfbe-4c46-94d5-319a27abe658,8,Pie chart,1.8177692,1,-0.29023442
pf9f114e8-3b20-4635-885f-89ed75245b36,9,Pie chart,0.33072436,60,5.8989162,,pb2e552ad-591d-4b99-855d-b662b5c578b1,9,Pie chart,20.119524,15,2.3560095,,p84c1777f-cfbe-4c46-94d5-319a27abe658,9,Pie chart,83.3702,85,0.704694
